ID,Color,Gender
792141B,Blue,Male
795156A,Blue,Male
795156B,Blue,Male
795156C,Blue,Male
795156E,Blue,Male
795156G,Blue,Female
795156I,Blue,Male
795156J,White,Male
795156M,Red,Male
795156N,Blue,Male
795156O,Green,Male
795156P,Red,Male
795156Q,Blue,Male
795156S,White,Male
795156T,Blue,Male
795156W,Red,Female
800731A,Red,Male
800731C,Blue,Male
800731E,Blue,Male
800731F,Blue,Female
800731G,Red,Male
800731I,Blue,Female
800731K,Blue,Female
800731M,Blue,Male
800731N,Blue,Female
800731O,Blue,Female
800731Q,Blue,Male
800731W,Blue,Male
800731X,Red,Male
800731Y,Red,Male
